,Date,Active Power (kw),Wind Speed (miles/hr)
0,1/1/2018 0:20,380.0645243,12.07913275
1,1/1/2018 0:50,400.8961995,12.55793299
2,1/1/2018 1:20,432.8330383,12.4401354
3,1/1/2018 1:50,488.2412109,12.81136017
4,1/1/2018 2:20,706.8480225,14.35559449
5,1/1/2018 2:50,760.4627279,14.51004701
6,1/1/2018 3:20,748.9193726,14.22144898
7,1/1/2018 3:50,1069.804789,16.25218408
8,1/1/2018 4:20,1618.41036,18.31026434
9,1/1/2018 4:50,1168.626017,16.35670963
10,1/1/2018 5:20,1134.510986,15.88339769
11,1/1/2018 5:50,1164.687337,16.49341725
12,1/1/2018 6:20,1130.847697,16.18662349
13,1/1/2018 6:50,1069.301086,15.95225887
14,1/1/2018 7:20,978.4399414,15.78746584
15,1/1/2018 7:50,878.045695,14.65613907
16,1/1/2018 8:20,531.4756978,12.73946719
17,1/1/2018 8:50,697.830485,14.03664014
18,1/1/2018 9:20,587.7674459,12.77343308
19,1/1/2018 9:50,755.2493693,14.00261167
20,1/1/2018 10:20,707.6755981,14.05
21,1/1/2018 10:50,335.5754954,11.27850992
22,1/1/2018 11:20,175.9052989,9.47888559
23,1/1/2018 11:50,192.4595642,9.758881931
24,1/1/2018 12:20,117.5723877,8.697006569
25,1/1/2018 12:50,137.0792478,8.740922048
26,1/1/2018 13:20,365.0746053,11.47093219
27,1/1/2018 13:50,704.2529907,14.33642384
28,1/1/2018 14:20,1060.220378,16.10031892
29,1/1/2018 14:50,1598.180013,18.86494045
30,1/1/2018 15:20,1766.510295,19.22345424
31,1/1/2018 15:50,2549.062337,22.80406876
32,1/1/2018 16:20,2580.615723,22.74562881
33,1/1/2018 16:50,2356.189616,21.63733613
34,1/1/2018 17:20,1950.284953,19.79767007
35,1/1/2018 17:50,1867.447998,19.33881239
36,1/1/2018 18:20,2238.555664,22.0615026
37,1/1/2018 18:50,2672.180013,23.54433806
38,1/1/2018 19:20,2869.275391,24.92032515
39,1/1/2018 19:50,3199.864339,25.66640276
40,1/1/2018 20:20,3230.460693,25.68073506
41,1/1/2018 20:50,3181.371989,25.67611146
42,1/1/2018 21:20,3603.321289,29.35542297
43,1/1/2018 21:50,3587.805664,29.45372174
44,1/1/2018 22:20,3481.083984,28.80673932
45,1/1/2018 22:50,3549.062663,28.3037932
46,1/1/2018 23:20,3536.236328,28.06449957
47,1/1/2018 23:50,3373.228678,29.18817484
48,2/1/2018 0:20,999.574707,16.06411945
49,2/1/2018 0:50,1257.54128,17.22294177
50,2/1/2018 1:20,1825.71696,20.06078995
51,2/1/2018 1:50,2610.048665,23.39309405
52,2/1/2018 2:20,3298.51359,26.35848267
53,2/1/2018 2:50,3541.535645,28.25535562
54,2/1/2018 3:20,3601.740723,30.62206004
55,2/1/2018 3:50,3603.398682,31.3626671
56,2/1/2018 4:20,3603.640625,31.85122902
57,2/1/2018 4:50,3603.445638,34.07435299
58,2/1/2018 5:20,3603.496012,35.38047979
59,2/1/2018 5:50,3603.479655,35.97708046
60,2/1/2018 6:20,3603.193278,36.33459374
61,2/1/2018 6:50,3603.17806,35.93494897
62,2/1/2018 7:20,3603.09432,36.07884515
63,2/1/2018 7:50,3595.582275,33.00276891
64,2/1/2018 8:20,3440.491048,30.11941256
65,2/1/2018 8:50,3597.647054,31.31718203
66,2/1/2018 9:20,3544.576579,30.55081451
67,2/1/2018 9:50,3455.384359,28.48561113
68,2/1/2018 10:20,3547.046061,30.75631364
69,2/1/2018 10:50,3578.573975,30.60141385
70,2/1/2018 11:20,3407.478678,27.12150373
71,2/1/2018 11:50,3484.965983,29.28582436
72,2/1/2018 12:20,3595.248291,32.87802206
73,2/1/2018 12:50,3588.052653,31.03316566
74,2/1/2018 13:20,3509.602295,28.64747691
75,2/1/2018 13:50,3440.629964,26.9852882
76,2/1/2018 14:20,3372.069987,26.77267519
77,2/1/2018 14:50,3412.394287,26.52983243
78,2/1/2018 15:20,3595.686361,31.08808992
79,2/1/2018 15:50,3599.974365,33.90558309
80,2/1/2018 16:20,3602.666992,34.16565662
81,2/1/2018 16:50,3602.746989,35.25814926
82,2/1/2018 17:20,3602.355306,39.98555709
83,2/1/2018 17:50,3602.301351,40.3543527
84,2/1/2018 18:20,3602.261393,39.76739602
85,2/1/2018 18:50,3602.436768,42.66400026
86,2/1/2018 19:20,3602.804606,40.39127752
87,2/1/2018 19:50,3602.69401,35.59433866
88,2/1/2018 20:20,3567.245361,38.8444185
89,2/1/2018 20:50,3602.71167,41.58337948
90,2/1/2018 21:20,3603.021322,42.35977713
91,2/1/2018 21:50,3602.892415,44.43052643
92,2/1/2018 22:20,3602.609701,46.52228173
93,2/1/2018 22:50,3602.399658,48.50811808
94,2/1/2018 23:20,3601.942627,44.39572785
95,2/1/2018 23:50,3602.516683,42.86427419
